country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310000,27800000,152000000,243000000,254000000,376000000,311000000,272000000,318000000,233000000,403000000,419000000,275000000,351000000,318000000,377000000,373000000,868000000,873000000,604000000,532000000,605000000,586000000,513000000,449000000,460000000
Ghana,20900000,20600000,45500000,125000000,156000000,303000000,396000000,303000000,425000000,453000000,351000000,322000000,281000000,179000000,137000000,424000000,210000000,279000000,308000000,416000000,418000000,331000000,334000000,258000000,518000000,466000000,694000000,683000000,876000000,1090000000,759000000,1160000000,773000000,804000000,645000000,709000000,743000000,612000000,865000000,750000000,773000000,908000000,933000000,1170000000,1500000000,1210000000,1260000000,1080000000,1170000000,1490000000,1600000000,1630000000,1630000000,1200000000,1010000000,1770000000,1320000000
Grenada,,,,,,,,,,,,,,220000,9010000,9960000,8770000,11000000,7440000,6980000,8530000,14300000,14200000,17800000,58600000,71700000,46900000,33900000,32700000,23400000,19000000,21300000,16700000,10200000,29900000,10900000,12700000,10200000,7730000,12700000,19600000,14500000,13300000,10800000,16100000,56000000,27600000,24800000,28200000,41900000,29800000,8570000,6790000,11200000,35200000,24100000,8240000
Guatemala,99300000,87200000,57900000,74500000,75700000,93000000,64800000,105000000,93300000,97000000,117000000,98400000,126000000,112000000,100000000,137000000,217000000,189000000,193000000,163000000,162000000,170000000,144000000,166000000,145000000,176000000,255000000,424000000,394000000,435000000,301000000,279000000,278000000,281000000,273000000,237000000,214000000,335000000,304000000,367000000,338000000,307000000,335000000,291000000,235000000,265000000,483000000,404000000,456000000,342000000,357000000,336000000,281000000,458000000,258000000,411000000,265000000
Guinea,1420000,20800000,75400000,167000000,89600000,148000000,87700000,48800000,37000000,82500000,64900000,51000000,23200000,53100000,76200000,85400000,34800000,67500000,164000000,133000000,192000000,246000000,267000000,159000000,294000000,272000000,329000000,353000000,383000000,568000000,394000000,503000000,555000000,525000000,446000000,454000000,349000000,489000000,451000000,303000000,204000000,403000000,340000000,294000000,296000000,207000000,179000000,243000000,313000000,193000000,202000000,175000000,569000000,411000000,499000000,538000000,559000000
Guinea-Bissau,,8730000,,,,,21800000,4670000,,850000,,1280000,,40000,39300000,69100000,78500000,116000000,132000000,119000000,119000000,143000000,149000000,153000000,141000000,139000000,136000000,186000000,158000000,191000000,179000000,154000000,137000000,126000000,244000000,136000000,218000000,161000000,125000000,71600000,121000000,92500000,84300000,172000000,83300000,69700000,88800000,115000000,115000000,130000000,116000000,102000000,72500000,93500000,97100000,95000000,198000000
Guyana,79700000,91100000,77000000,54800000,42400000,50900000,65200000,72400000,99400000,112000000,104000000,88000000,62200000,33800000,46900000,36700000,73300000,34600000,85600000,85400000,93400000,149000000,91400000,70900000,53700000,61800000,57500000,49000000,43700000,71300000,231000000,174000000,120000000,146000000,108000000,104000000,170000000,342000000,121000000,114000000,158000000,155000000,96600000,115000000,157000000,161000000,181000000,120000000,149000000,163000000,154000000,135000000,104000000,90800000,132000000,32100000,69800000
Haiti,61000000,80900000,30200000,21500000,24800000,39100000,25000000,21200000,32900000,28600000,40300000,30200000,31600000,33100000,52700000,191000000,231000000,264000000,249000000,224000000,233000000,240000000,282000000,295000000,301000000,334000000,344000000,366000000,222000000,316000000,244000000,253000000,141000000,174000000,892000000,954000000,456000000,430000000,545000000,356000000,283000000,237000000,210000000,262000000,341000000,473000000,618000000,706000000,873000000,1080000000,2940000000,1550000000,1180000000,1070000000,991000000,1050000000,1070000000
Honduras,29800000,38900000,39100000,62400000,89100000,78600000,66500000,68700000,113000000,106000000,109000000,77300000,77600000,63000000,102000000,177000000,130000000,174000000,248000000,237000000,230000000,249000000,358000000,424000000,636000000,564000000,514000000,433000000,510000000,399000000,652000000,426000000,485000000,441000000,365000000,448000000,405000000,369000000,417000000,1040000000,604000000,893000000,538000000,459000000,715000000,716000000,601000000,440000000,513000000,429000000,600000000,546000000,512000000,566000000,551000000,541000000,411000000
India,5420000000,4710000000,4620000000,6510000000,8100000000,8320000000,7910000000,8500000000,5690000000,5300000000,4640000000,5330000000,3170000000,3470000000,4940000000,5620000000,5980000000,3160000000,3140000000,3320000000,4740000000,4510000000,3810000000,4300000000,4100000000,3870000000,3800000000,2710000000,3000000000,2680000000,1920000000,3380000000,2950000000,1820000000,2500000000,1780000000,2060000000,1920000000,1910000000,1640000000,1670000000,2200000000,2180000000,708000000,896000000,1960000000,1410000000,1230000000,1800000000,2310000000,2520000000,2760000000,1400000000,2180000000,2680000000,3170000000,2590000000
Indonesia,739000000,998000000,1280000000,754000000,500000000,376000000,611000000,1680000000,2190000000,2050000000,2770000000,3250000000,2470000000,2580000000,2480000000,2350000000,2180000000,1510000000,1560000000,1660000000,1980000000,2090000000,2000000000,1640000000,1540000000,1410000000,1320000000,1730000000,2030000000,2340000000,2150000000,2100000000,2040000000,1990000000,1530000000,1170000000,945000000,861000000,1380000000,2080000000,1810000000,1700000000,1590000000,1820000000,276000000,2500000000,1430000000,865000000,1130000000,1130000000,1270000000,439000000,176000000,64400000,-362000000,-33400000,13800000
Iran,153000000,811000000,378000000,187000000,50400000,165000000,115000000,282000000,90000000,132000000,143000000,60200000,51600000,-13500000,36100000,6070000,-16500000,104000000,580000000,9280000,55500000,13900000,3780000,110000000,25800000,34500000,51400000,114000000,123000000,143000000,163000000,254000000,147000000,182000000,161000000,175000000,154000000,224000000,190000000,186000000,160000000,150000000,152000000,153000000,200000000,105000000,119000000,94200000,86000000,83000000,101000000,92500000,132000000,113000000,68200000,111000000,118000000
Iraq,9980000,5160000,15000000,32400000,76100000,74500000,26300000,24300000,16400000,28300000,49100000,91000000,114000000,59500000,16600000,377000000,66100000,218000000,169000000,64100000,25000000,588000000,9020000,15700000,-1040000,42100000,44800000,105000000,15800000,24600000,92700000,829000000,176000000,227000000,352000000,426000000,429000000,282000000,158000000,113000000,153000000,187000000,164000000,2890000000,5330000000,24100000000,9650000000,9240000000,9200000000,2990000000,2240000000,1830000000,1170000000,1390000000,1250000000,1480000000,2230000000
Israel,942000000,915000000,852000000,899000000,755000000,928000000,797000000,508000000,428000000,370000000,362000000,385000000,404000000,767000000,440000000,1630000000,2130000000,2490000000,2600000000,3180000000,2150000000,1750000000,1850000000,2780000000,2530000000,3830000000,3650000000,2290000000,2190000000,2030000000,2240000000,2660000000,3160000000,1920000000,1850000000,490000000,3200000000,,,,,,,,,,,,,,,,,,,,
Jamaica,,103000000,117000000,22400000,26300000,74700000,70300000,60200000,116000000,91800000,60200000,122000000,88300000,85200000,108000000,84300000,85800000,100000000,363000000,300000000,271000000,353000000,396000000,389000000,365000000,347000000,340000000,300000000,318000000,416000000,387000000,215000000,173000000,150000000,162000000,134000000,64000000,85400000,22200000,-24300000,26100000,88400000,38400000,13000000,94100000,48000000,39800000,23900000,72500000,134000000,125000000,39300000,31600000,66000000,84300000,59100000,28900000
Jordan,616000000,636000000,558000000,553000000,507000000,454000000,483000000,345000000,295000000,303000000,471000000,332000000,510000000,885000000,1210000000,1720000000,1920000000,1360000000,1280000000,3490000000,3440000000,2810000000,2060000000,1950000000,1630000000,1420000000,1190000000,1070000000,740000000,530000000,1280000000,1120000000,511000000,405000000,427000000,569000000,559000000,557000000,532000000,548000000,714000000,613000000,756000000,1630000000,717000000,802000000,641000000,653000000,744000000,759000000,958000000,961000000,1120000000,1310000000,2540000000,2150000000,2750000000
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147000000,15500000,22000000,71900000,76200000,158000000,168000000,262000000,202000000,212000000,191000000,246000000,308000000,275000000,231000000,185000000,208000000,325000000,281000000,200000000,181000000,121000000,82200000,83900000,82500000,65800000
Kenya,220000000,622000000,464000000,526000000,521000000,596000000,420000000,285000000,458000000,411000000,391000000,413000000,402000000,448000000,490000000,435000000,540000000,501000000,679000000,819000000,847000000,1030000000,1140000000,925000000,1010000000,1040000000,883000000,931000000,1260000000,1620000000,1630000000,1170000000,1090000000,1150000000,815000000,765000000,675000000,554000000,525000000,384000000,669000000,662000000,523000000,632000000,708000000,802000000,983000000,1290000000,1300000000,1760000000,1590000000,2280000000,2480000000,3050000000,2450000000,2460000000,2200000000
Kiribati,210000,2660000,3160000,4000000,2620000,3810000,5200000,11900000,11800000,11800000,17000000,18000000,27100000,35500000,29900000,25800000,19300000,25600000,35400000,25400000,42400000,34900000,35400000,41600000,30400000,31100000,27700000,31200000,24300000,27000000,27600000,26700000,32200000,21300000,21700000,19000000,15800000,19700000,23900000,25300000,24500000,21500000,30200000,24400000,20300000,29200000,27000000,26800000,25600000,25300000,20400000,50700000,50300000,53600000,69500000,65000000,63000000
Kuwait,,-1200000,-18000000,-7100000,-6030000,-8590000,-9400000,-9340000,70000,2110000,2030000,2800000,2910000,1720000,1440000,1120000,590000,1400000,2150000,2580000,20600000,21200000,13500000,12100000,11200000,10500000,9160000,5050000,7530000,7010000,17500000,15600000,8120000,2440000,5320000,4540000,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28900000,139000000,206000000,305000000,261000000,300000000,305000000,342000000,267000000,253000000,252000000,234000000,288000000,284000000,325000000,267000000,327000000,294000000,351000000,459000000,410000000,458000000,518000000,770000000,522000000
Lao,211000000,323000000,196000000,236000000,290000000,421000000,424000000,441000000,354000000,369000000,363000000,357000000,310000000,320000000,230000000,133000000,89700000,87300000,178000000,120000000,93000000,92000000,102000000,82000000,84500000,90000000,88300000,89200000,110000000,212000000,200000000,180000000,202000000,251000000,248000000,312000000,372000000,393000000,335000000,327000000,333000000,324000000,352000000,338000000,280000000,309000000,372000000,381000000,448000000,384000000,365000000,337000000,347000000,371000000,421000000,471000000,394000000
Lebanon,90300000,86300000,62700000,54600000,24200000,58700000,56000000,56800000,123000000,56300000,112000000,32600000,72400000,53100000,546000000,50700000,135000000,422000000,632000000,298000000,644000000,1040000000,443000000,295000000,179000000,193000000,122000000,172000000,231000000,193000000,398000000,170000000,141000000,187000000,292000000,217000000,280000000,334000000,442000000,255000000,284000000,278000000,275000000,630000000,287000000,245000000,843000000,931000000,953000000,542000000,414000000,421000000,679000000,548000000,725000000,975000000,1150000000
Lesotho,16400000,42300000,57900000,54600000,53100000,83500000,103000000,110000000,112000000,101000000,56300000,100000000,77000000,67900000,88900000,108000000,97500000,118000000,145000000,164000000,205000000,237000000,215000000,249000000,235000000,219000000,169000000,179000000,179000000,217000000,196000000,170000000,186000000,198000000,153000000,136000000,121000000,118000000,79700000,41700000,54700000,78200000,103000000,91700000,102000000,70100000,71400000,124000000,129000000,116000000,243000000,237000000,267000000,308000000,99900000,83100000,113000000
Liberia,64600000,198000000,636000000,276000000,104000000,232000000,240000000,152000000,90700000,88800000,65800000,61200000,58500000,43900000,56800000,69300000,87800000,97700000,125000000,191000000,215000000,246000000,239000000,260000000,282000000,194000000,181000000,129000000,101000000,92800000,161000000,223000000,155000000,164000000,86800000,145000000,201000000,100000000,97600000,125000000,93000000,54800000,75400000,131000000,247000000,245000000,276000000,1080000000,1160000000,484000000,1290000000,675000000,523000000,489000000,681000000,1090000000,810000000
Libya,310000000,282000000,241000000,194000000,149000000,59800000,14100000,19300000,44300000,49900000,27900000,19000000,38800000,64900000,55700000,5530000,31500000,25100000,17000000,8920000,28100000,10400000,246000000,12600000,11600000,13300000,22600000,10000000,8510000,15600000,11000000,9800000,4060000,3690000,4920000,6370000,4240000,4950000,7020000,6010000,,,,,,24500000,41600000,18500000,66500000,36200000,7650000,599000000,83200000,115000000,189000000,157000000,182000000
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4540000,135000000,86600000,123000000,122000000,133000000,360000000,362000000,359000000,382000000,321000000,292000000,243000000,208000000,190000000,180000000,175000000,173000000,165000000,133000000,173000000,185000000,214000000,170000000
Madagascar,26100000,13800000,41700000,69900000,352000000,367000000,333000000,294000000,318000000,287000000,296000000,274000000,287000000,229000000,253000000,286000000,212000000,191000000,250000000,319000000,487000000,530000000,559000000,434000000,382000000,455000000,596000000,549000000,453000000,551000000,553000000,600000000,457000000,459000000,354000000,338000000,405000000,1070000000,620000000,453000000,435000000,526000000,508000000,643000000,1330000000,956000000,802000000,842000000,762000000,402000000,449000000,394000000,334000000,443000000,522000000,677000000,621000000
Malawi,44000000,84300000,115000000,161000000,300000000,293000000,258000000,241000000,351000000,214000000,251000000,196000000,209000000,155000000,188000000,239000000,235000000,267000000,283000000,347000000,307000000,311000000,283000000,271000000,442000000,279000000,373000000,447000000,582000000,663000000,694000000,748000000,741000000,650000000,565000000,507000000,582000000,431000000,556000000,577000000,602000000,586000000,515000000,617000000,550000000,605000000,735000000,721000000,837000000,741000000,955000000,722000000,1080000000,1030000000,842000000,1050000000,1260000000
Malaysia,135000000,183000000,171000000,94800000,142000000,178000000,213000000,162000000,248000000,219000000,182000000,258000000,274000000,203000000,265000000,342000000,213000000,221000000,182000000,267000000,279000000,308000000,291000000,382000000,658000000,503000000,409000000,485000000,165000000,184000000,543000000,322000000,211000000,169000000,96200000,103000000,-341000000,-196000000,198000000,133000000,57600000,37100000,102000000,108000000,261000000,31600000,226000000,192000000,136000000,117000000,7500000,40900000,19400000,-91600000,17400000,-600000,-41400000
Maldives,290000,2610000,4660000,2820000,2570000,980000,13800000,2950000,2060000,1110000,1580000,5820000,3750000,2960000,2480000,11100000,10800000,11500000,19600000,14800000,45600000,28000000,12400000,24300000,12000000,19900000,31000000,27100000,32800000,38300000,27500000,40800000,42700000,36600000,32400000,59500000,35500000,30200000,28700000,32000000,23100000,31500000,34600000,24100000,29800000,77300000,39200000,35400000,48700000,28400000,95800000,46000000,48900000,18300000,19500000,26800000,26200000
Mali,630000,16400000,80500000,57600000,130000000,157000000,175000000,116000000,188000000,144000000,134000000,166000000,191000000,319000000,466000000,499000000,289000000,338000000,410000000,440000000,575000000,522000000,492000000,514000000,819000000,933000000,742000000,608000000,691000000,710000000,672000000,620000000,558000000,501000000,563000000,606000000,564000000,549000000,448000000,464000000,411000000,505000000,579000000,662000000,635000000,765000000,890000000,946000000,851000000,911000000,1020000000,1130000000,929000000,1230000000,1090000000,1200000000,1210000000
Malta,130000000,100000000,86900000,168000000,184000000,146000000,147000000,134000000,153000000,126000000,149000000,103000000,82600000,140000000,97700000,126000000,113000000,105000000,112000000,125000000,36100000,138000000,69300000,118000000,30000000,45900000,13400000,-2250000,-4360000,-8130000,7430000,29700000,5580000,45600000,62900000,13300000,91600000,30900000,30100000,35200000,33800000,2750000,15800000,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370000,7820000,44800000,70400000,50000000,94700000,84400000,65200000,81200000,75200000,96500000,79900000,70400000,60800000,64400000,63200000,58200000,56800000,61800000,29300000,84700000,81700000,92200000,55100000,57100000,11900000
Mauritania,330000,9520000,20000000,14400000,88000000,65500000,145000000,83700000,146000000,76600000,45900000,81300000,66900000,133000000,387000000,290000000,693000000,550000000,647000000,411000000,378000000,505000000,433000000,418000000,416000000,494000000,440000000,322000000,286000000,398000000,326000000,289000000,247000000,414000000,319000000,239000000,306000000,291000000,206000000,277000000,302000000,401000000,501000000,302000000,206000000,197000000,219000000,321000000,405000000,341000000,341000000,326000000,367000000,259000000,230000000,318000000,290000000
Mauritius,5340000,55900000,41800000,56000000,19600000,18400000,36000000,42100000,87600000,44200000,42100000,56700000,55100000,65300000,107000000,99900000,58800000,70900000,117000000,74400000,69900000,127000000,112000000,97000000,82500000,65300000,104000000,103000000,88100000,89000000,117000000,88000000,58300000,35200000,20500000,27500000,25100000,54500000,51000000,55300000,29600000,30600000,33600000,-17200000,34200000,33100000,18600000,61000000,89600000,137000000,111000000,156000000,156000000,124000000,36300000,78400000,42000000
Mexico,-11400000,410000000,197000000,142000000,-22800000,249000000,249000000,272000000,438000000,347000000,480000000,238000000,295000000,265000000,209000000,195000000,205000000,148000000,34700000,165000000,113000000,215000000,325000000,284000000,183000000,317000000,429000000,248000000,256000000,145000000,211000000,353000000,377000000,549000000,475000000,313000000,265000000,112000000,48400000,62400000,-11100000,143000000,190000000,145000000,156000000,230000000,276000000,128000000,156000000,204000000,460000000,906000000,408000000,523000000,729000000,321000000,804000000
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620000,13600000,85700000,141000000,96700000,156000000,126000000,108000000,144000000,132000000,178000000,143000000,143000000,104000000,124000000,124000000,127000000,101000000,129000000,62700000,129000000,144000000,142000000,117000000,81400000,49900000
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84400000,52900000,141000000,168000000,164000000,191000000,145000000,135000000,183000000,234000000,254000000,267000000,226000000,439000000,399000000,430000000,315000000,465000000,313000000,329000000
Mongolia,,,,,,,,,,,,,,,,,11300000,10400000,9100000,8040000,5200000,5360000,5470000,4560000,5080000,12000000,12300000,7430000,5550000,8680000,17200000,76700000,138000000,131000000,195000000,189000000,197000000,288000000,231000000,246000000,241000000,266000000,255000000,282000000,266000000,225000000,208000000,217000000,228000000,350000000,281000000,303000000,395000000,387000000,284000000,236000000,308000000
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9640000,22000000,4100000,100000000,98100000,91200000,68900000,72000000,107000000,92500000,101000000,85700000,100000000,85300000
Morocco,376000000,717000000,538000000,632000000,671000000,698000000,609000000,400000000,578000000,483000000,482000000,694000000,482000000,392000000,441000000,878000000,821000000,1840000000,1110000000,1240000000,2480000000,2340000000,1950000000,1050000000,801000000,2030000000,813000000,695000000,748000000,782000000,1680000000,2050000000,1170000000,1020000000,852000000,569000000,733000000,595000000,677000000,874000000,592000000,691000000,498000000,664000000,804000000,759000000,1090000000,1100000000,1240000000,887000000,867000000,1230000000,1320000000,1770000000,1940000000,1480000000,1980000000
Mozambique,150000,38700000,650000,1540000,-440000,,64000000,165000000,130000,420000,780000,1120000,1090000,730000,3040000,64100000,223000000,238000000,286000000,342000000,353000000,324000000,490000000,519000000,661000000,745000000,844000000,1160000000,1490000000,1290000000,1410000000,1490000000,1900000000,1660000000,1620000000,1280000000,1090000000,1260000000,1400000000,1090000000,1320000000,1410000000,3090000000,1260000000,1360000000,1370000000,1670000000,1670000000,1790000000,1870000000,1810000000,1840000000,1890000000,2100000000,1900000000,1810000000,1530000000
Myanmar,336000000,195000000,274000000,366000000,182000000,137000000,130000000,95600000,114000000,190000000,143000000,240000000,223000000,281000000,240000000,197000000,230000000,306000000,653000000,782000000,635000000,585000000,707000000,656000000,594000000,761000000,628000000,495000000,532000000,234000000,204000000,207000000,119000000,95500000,139000000,118000000,32700000,56900000,95400000,91600000,116000000,145000000,145000000,140000000,132000000,151000000,149000000,186000000,490000000,333000000,323000000,324000000,429000000,3350000000,1220000000,1170000000,1500000000
Namibia,,,,,,,,,,,,,90000,,,,,,,,,,,30000,,13900000,29700000,27400000,34100000,94700000,171000000,250000000,182000000,206000000,180000000,212000000,224000000,218000000,240000000,236000000,223000000,164000000,189000000,178000000,193000000,123000000,159000000,214000000,193000000,307000000,252000000,256000000,249000000,252000000,217000000,142000000,169000000
Nauru,,,,,,,,,,,,,,,,40000,,30000,,50000,80000,50000,40000,60000,70000,140000,110000,130000,330000,80000,270000,610000,610000,640000,15100000,3770000,4590000,3980000,3860000,7520000,5200000,15500000,23100000,26000000,18800000,11200000,21300000,26900000,31000000,24300000,24000000,27700000,26500000,22600000,19000000,31300000,23300000
Nepal,55600000,68900000,57600000,107000000,124000000,112000000,97700000,86100000,66700000,70500000,125000000,133000000,154000000,161000000,139000000,159000000,173000000,252000000,207000000,323000000,350000000,400000000,454000000,457000000,456000000,529000000,544000000,555000000,611000000,752000000,579000000,565000000,524000000,444000000,523000000,448000000,443000000,491000000,515000000,436000000,488000000,529000000,439000000,546000000,458000000,445000000,547000000,589000000,641000000,813000000,762000000,781000000,694000000,795000000,798000000,1220000000,1080000000
Nicaragua,48100000,51100000,43800000,49300000,57800000,64600000,99900000,98100000,96500000,97800000,118000000,94500000,64100000,139000000,180000000,144000000,130000000,113000000,117000000,270000000,493000000,336000000,285000000,292000000,294000000,281000000,318000000,248000000,355000000,389000000,489000000,1200000000,850000000,424000000,777000000,729000000,1040000000,529000000,796000000,875000000,753000000,1380000000,703000000,993000000,1330000000,811000000,762000000,787000000,663000000,716000000,604000000,589000000,474000000,432000000,383000000,458000000,430000000
Niger,380000,17200000,36100000,34100000,106000000,102000000,151000000,148000000,195000000,206000000,190000000,227000000,217000000,316000000,538000000,463000000,430000000,291000000,410000000,391000000,341000000,435000000,597000000,415000000,393000000,704000000,598000000,589000000,568000000,482000000,531000000,499000000,451000000,441000000,455000000,314000000,294000000,425000000,376000000,242000000,290000000,375000000,405000000,565000000,584000000,550000000,556000000,543000000,544000000,426000000,686000000,566000000,805000000,705000000,811000000,868000000,951000000
Nigeria,331000000,291000000,256000000,140000000,329000000,574000000,486000000,495000000,494000000,556000000,665000000,563000000,409000000,345000000,276000000,280000000,171000000,130000000,107000000,61600000,72000000,91800000,81500000,104000000,81700000,79100000,108000000,104000000,156000000,472000000,336000000,350000000,320000000,392000000,249000000,235000000,227000000,254000000,265000000,194000000,232000000,234000000,399000000,375000000,637000000,6550000000,11300000000,1840000000,1230000000,1610000000,2010000000,1690000000,1810000000,2360000000,2280000000,2430000000,2550000000
North Korea,,,,,,,,,,,,,,,,,,,134000000,,,,,,,12800000,10400000,26300000,13900000,12900000,10700000,11600000,13300000,17800000,7030000,15200000,31900000,122000000,143000000,277000000,112000000,182000000,360000000,162000000,185000000,95700000,58700000,101000000,214000000,64000000,74600000,98000000,82600000,87800000,121000000,131000000,122000000
