country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Oman,2640000,3380000,4340000,3510000,38400000,15900000,5260000,7890000,460000,350000,550000,11100000,48600000,97800000,663000000,484000000,571000000,1120000000,163000000,578000000,477000000,564000000,312000000,162000000,247000000,175000000,197000000,76400000,9160000,36600000,94500000,17400000,52300000,171000000,206000000,79700000,94700000,125000000,712000000,63000000,98600000,6180000,102000000,75100000,108000000,19300000,53500000,206000000,68400000,137000000,-20200000,,,,,,
Pakistan,1610000000,1650000000,2480000000,3240000000,3380000000,3280000000,2400000000,2970000000,2430000000,1950000000,2340000000,2260000000,1510000000,1240000000,1810000000,2610000000,3420000000,1910000000,1730000000,1680000000,2550000000,1810000000,2060000000,1630000000,1670000000,1730000000,1700000000,1320000000,2020000000,2150000000,1560000000,1900000000,1270000000,1330000000,1860000000,812000000,1110000000,1110000000,1200000000,896000000,814000000,2570000000,2710000000,1210000000,1540000000,1750000000,2280000000,2230000000,1420000000,2690000000,2940000000,3190000000,1860000000,2060000000,3320000000,3750000000,3010000000
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,10000,295000000,200000000,87600000,46500000,120000000,33000000,39300000,39500000,35100000,28800000,22700000,25200000,41000000,23800000,43400000,36700000,27400000,27000000,11200000,32100000,22200000,13900000,16600000
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244000000,630000000,611000000,681000000,800000000,814000000,751000000,928000000,1420000000,1340000000,1260000000,1300000000,1090000000,1400000000,1610000000,2230000000,2710000000,2390000000,2190000000,1800000000,2410000000,2230000000,1870000000,2400000000
Panama,79300000,55400000,66000000,117000000,74400000,227000000,116000000,118000000,70100000,94100000,109000000,158000000,91600000,113000000,95600000,114000000,139000000,108000000,81700000,86600000,102000000,86100000,89500000,102000000,151000000,144000000,95500000,65900000,34900000,31300000,161000000,161000000,212000000,95000000,32400000,41600000,42800000,40600000,28900000,20700000,27000000,41000000,28900000,31000000,23800000,21500000,35400000,-114000000,28200000,53600000,98100000,84400000,45200000,10100000,-163000000,10300000,23700000
Papua New Guinea,80000,80000,,70000,,724000000,726000000,808000000,874000000,892000000,1060000000,955000000,1140000000,858000000,967000000,1080000000,806000000,860000000,888000000,792000000,805000000,765000000,723000000,802000000,746000000,700000000,667000000,689000000,673000000,575000000,661000000,623000000,670000000,530000000,522000000,541000000,513000000,510000000,617000000,356000000,475000000,399000000,393000000,357000000,367000000,335000000,341000000,341000000,315000000,418000000,446000000,462000000,521000000,533000000,492000000,591000000,526000000
Paraguay,74700000,58800000,23800000,64600000,64800000,61800000,78600000,114000000,123000000,106000000,109000000,118000000,124000000,105000000,138000000,128000000,136000000,141000000,106000000,69800000,62400000,114000000,189000000,111000000,112000000,111000000,107000000,112000000,92900000,109000000,70200000,172000000,105000000,127000000,82900000,122000000,87900000,125000000,94000000,91500000,87900000,74700000,69800000,57300000,27200000,49700000,56200000,103000000,122000000,130000000,116000000,90400000,103000000,119000000,58100000,60200000,89100000
Peru,-78600000,-130000000,36300000,75900000,163000000,394000000,286000000,329000000,325000000,230000000,328000000,293000000,313000000,401000000,304000000,267000000,279000000,320000000,374000000,459000000,430000000,519000000,421000000,650000000,699000000,678000000,505000000,482000000,433000000,487000000,557000000,715000000,477000000,698000000,426000000,432000000,387000000,511000000,639000000,514000000,452000000,563000000,620000000,584000000,515000000,493000000,492000000,313000000,421000000,413000000,-129000000,514000000,362000000,333000000,301000000,335000000,327000000
Philippines,468000000,158000000,216000000,182000000,511000000,654000000,320000000,610000000,430000000,513000000,265000000,390000000,793000000,895000000,583000000,611000000,601000000,552000000,633000000,619000000,637000000,765000000,731000000,896000000,790000000,933000000,1500000000,1070000000,1020000000,1120000000,1630000000,1310000000,1880000000,1650000000,1090000000,915000000,931000000,759000000,724000000,725000000,647000000,685000000,643000000,710000000,458000000,567000000,579000000,591000000,70000000,324000000,518000000,-42700000,80000000,192000000,620000000,515000000,307000000
Qatar,,,,-140000,,,70000,70000,,240000,350000,540000,990000,1300000,1990000,2660000,4040000,2520000,320000,360000,1070000,1800000,1920000,2430000,3230000,4330000,3980000,4080000,2540000,6460000,3830000,3620000,3440000,4700000,3580000,3780000,,,,,,,,,,,,,,,,,,,,,
Rwanda,68300000,64600000,93200000,58500000,61200000,63800000,90300000,99100000,115000000,123000000,141000000,151000000,159000000,176000000,185000000,307000000,258000000,283000000,324000000,335000000,326000000,361000000,370000000,362000000,413000000,448000000,406000000,401000000,392000000,360000000,403000000,499000000,445000000,472000000,971000000,843000000,575000000,312000000,464000000,491000000,456000000,441000000,495000000,406000000,536000000,607000000,623000000,740000000,854000000,885000000,982000000,1140000000,810000000,996000000,937000000,1090000000,1160000000
Samoa,,230000,650000,1190000,1450000,1550000,2900000,4900000,6310000,3380000,9100000,11000000,16900000,16200000,23900000,52700000,41600000,69200000,58100000,74300000,57200000,57600000,54200000,65700000,52400000,51000000,44100000,60900000,46900000,48800000,69400000,78700000,72500000,69200000,56100000,50300000,38100000,35900000,49800000,33700000,42600000,64200000,53600000,42000000,38000000,47200000,51300000,38000000,39200000,72200000,132000000,77900000,93700000,96300000,81000000,93700000,86000000
Sao Tome and Principe,840000,10900000,,,,,10100000,3480000,1320000,,,,,,,2890000,39000000,9260000,10600000,6730000,8170000,13700000,23000000,29200000,29000000,30500000,21800000,28200000,37700000,77700000,80600000,71200000,73400000,60500000,63400000,103000000,56700000,44500000,37300000,38000000,51300000,57600000,36900000,44000000,35700000,33700000,22900000,46800000,40600000,26400000,44100000,62400000,44900000,47000000,36200000,49000000,46700000
Saudi Arabia,50500000,-2700000,-63200000,-15900000,-2880000,2520000,2280000,3110000,3260000,8500000,8620000,10600000,11200000,11800000,14000000,10600000,6020000,20200000,15400000,22900000,25800000,55300000,100000000,86200000,73600000,60500000,49300000,33100000,25100000,19200000,17700000,16100000,47200000,29500000,16400000,15000000,12400000,3620000,17800000,22000000,22500000,15000000,19100000,14800000,22400000,24900000,24000000,-125000000,,,,,,,,,
Senegal,1010000,2040000,103000000,88800000,410000000,338000000,302000000,315000000,318000000,343000000,258000000,303000000,238000000,352000000,546000000,462000000,389000000,364000000,571000000,728000000,545000000,899000000,672000000,760000000,873000000,697000000,1140000000,1110000000,929000000,1090000000,1100000000,839000000,816000000,643000000,775000000,713000000,662000000,541000000,639000000,688000000,596000000,604000000,601000000,538000000,1120000000,730000000,879000000,802000000,939000000,922000000,857000000,908000000,962000000,896000000,999000000,879000000,735000000
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65800000,109000000,77000000,125000000,148000000,1050000000,1720000000,1970000000,2840000000,1580000000,1290000000,1130000000,1630000000,801000000,859000000,555000000,603000000,1160000000,972000000,662000000,313000000,312000000,632000000
Seychelles,11600000,10200000,4810000,6220000,8860000,13700000,7770000,18600000,22600000,11100000,31700000,55400000,56800000,48700000,46800000,34300000,35600000,45400000,51400000,62200000,44900000,37800000,42500000,37200000,37100000,58000000,57700000,41300000,32100000,32200000,50900000,30200000,25900000,26500000,17000000,13100000,22700000,21900000,31600000,16700000,32300000,17100000,77800000,10800000,11200000,17800000,13600000,5780000,6320000,18800000,47200000,19100000,31000000,23800000,10600000,6780000,5710000
Sierra Leone,70100000,149000000,67800000,83700000,79900000,115000000,71500000,49100000,73600000,56000000,39100000,57300000,51000000,60900000,39200000,56600000,44800000,83000000,107000000,125000000,191000000,138000000,195000000,158000000,140000000,154000000,179000000,112000000,160000000,154000000,80700000,139000000,170000000,285000000,342000000,245000000,223000000,155000000,142000000,102000000,255000000,485000000,524000000,406000000,407000000,357000000,382000000,509000000,343000000,414000000,433000000,376000000,404000000,409000000,828000000,946000000,715000000
Singapore,-2880000,-640000,9030000,4860000,4210000,18700000,14500000,55300000,36500000,127000000,211000000,205000000,177000000,138000000,80500000,41300000,39000000,34900000,13400000,10800000,28300000,44700000,45200000,32000000,82000000,55000000,50000000,34300000,29100000,144000000,450000,4690000,21100000,22600000,14300000,13100000,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9770000,41300000,60100000,93900000,126000000,51200000,43600000,92600000,193000000,75300000,,,,,,,,,,,,,,
Solomon Islands,19400000,20400000,22600000,28600000,27300000,36700000,43600000,48200000,59600000,64500000,64600000,50200000,81200000,70200000,65100000,99800000,94000000,71700000,91700000,70900000,101000000,69800000,67000000,68400000,49600000,54000000,68800000,103000000,90100000,75600000,66600000,50200000,63100000,69500000,60800000,54300000,47600000,49000000,59200000,55000000,112000000,108000000,51600000,110000000,164000000,239000000,242000000,259000000,226000000,221000000,298000000,257000000,234000000,234000000,169000000,190000000,180000000
Somalia,224000000,235000000,206000000,265000000,174000000,224000000,347000000,99400000,229000000,222000000,170000000,183000000,159000000,239000000,329000000,580000000,357000000,740000000,713000000,660000000,1070000000,894000000,1130000000,815000000,880000000,844000000,991000000,989000000,685000000,666000000,717000000,246000000,926000000,1300000000,771000000,239000000,107000000,111000000,112000000,161000000,155000000,224000000,216000000,219000000,225000000,258000000,413000000,371000000,718000000,633000000,472000000,950000000,901000000,953000000,992000000,1250000000,1190000000
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392000000,414000000,501000000,461000000,658000000,688000000,733000000,708000000,634000000,712000000,771000000,684000000,723000000,745000000,771000000,1060000000,1070000000,1030000000,1300000000,1030000000,1200000000,1000000000,1420000000,1170000000
South Korea,1590000000,1430000000,1460000000,1640000000,1070000000,1450000000,1420000000,1570000000,1420000000,1940000000,1480000000,1690000000,1690000000,1140000000,907000000,843000000,716000000,691000000,399000000,298000000,285000000,619000000,80800000,27700000,-49800000,-5150000,-23700000,9870000,1400000,54800000,45800000,50100000,-23600000,-48700000,-104000000,19000000,-140000000,-152000000,-53700000,-51600000,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382000000,1100000000,1280000000,1820000000,1670000000,1610000000
Sri Lanka,74200000,72800000,93300000,83600000,65200000,106000000,216000000,322000000,363000000,328000000,308000000,318000000,289000000,247000000,298000000,506000000,547000000,557000000,841000000,747000000,842000000,830000000,939000000,1070000000,1060000000,1070000000,992000000,747000000,895000000,884000000,981000000,1120000000,803000000,827000000,668000000,528000000,525000000,379000000,497000000,292000000,300000000,397000000,421000000,759000000,518000000,1190000000,795000000,577000000,645000000,655000000,508000000,498000000,399000000,357000000,437000000,427000000,369000000
St. Kitts and Nevis,,,,,,,,,,,,,,40000,19200000,6810000,11200000,7940000,6830000,4950000,13900000,8530000,7400000,6890000,8910000,10700000,11500000,13600000,23700000,22100000,12100000,10300000,10700000,14400000,8040000,4380000,8090000,9130000,8550000,5950000,5320000,13900000,35200000,60000,-280000,2640000,4730000,3030000,38900000,2750000,10000000,12700000,19600000,26400000,,,
St. Lucia,,,,,,,,,,,,,,390000,34600000,36700000,29500000,14300000,10800000,5890000,19300000,26900000,19300000,16700000,13400000,16600000,23000000,19300000,28100000,28500000,17500000,31100000,34400000,32900000,41900000,56600000,43700000,31500000,6560000,28900000,11000000,24100000,41800000,17300000,-22300000,11100000,19100000,18000000,14100000,34500000,36900000,29700000,23600000,22200000,17200000,13800000,14600000
St. Vincent and the Grenadines,,,,,,,,,,,,,,520000,18600000,25400000,18400000,14700000,15400000,16200000,21600000,21200000,18100000,12700000,9600000,13200000,25100000,23400000,26400000,22800000,21800000,21600000,23300000,18000000,14400000,52600000,29500000,5720000,26300000,19100000,7210000,11700000,5960000,7020000,9780000,7770000,4690000,59500000,22100000,25500000,15100000,14800000,7250000,7480000,8690000,13500000,8670000
Sudan,223000000,77100000,48900000,104000000,144000000,221000000,256000000,104000000,225000000,59800000,50600000,54300000,319000000,164000000,815000000,1010000000,899000000,944000000,1000000000,1650000000,1460000000,1450000000,1740000000,2230000000,1460000000,2620000000,1830000000,1480000000,1460000000,1190000000,1210000000,1180000000,682000000,599000000,527000000,276000000,262000000,187000000,292000000,338000000,320000000,285000000,418000000,753000000,1140000000,2020000000,2170000000,2080000000,2430000000,2350000000,1940000000,1620000000,1270000000,1440000000,803000000,900000000,816000000
Suriname,112000000,124000000,103000000,148000000,117000000,148000000,27700000,29000000,143000000,135000000,183000000,176000000,194000000,134000000,189000000,176000000,330000000,251000000,153000000,195000000,160000000,223000000,238000000,10600000,14500000,26700000,27100000,37400000,35300000,87400000,88600000,60600000,106000000,109000000,80300000,89500000,130000000,101000000,75400000,47700000,47700000,36900000,18600000,14900000,26600000,44800000,63200000,130000000,82800000,131000000,90700000,75000000,35900000,26300000,11300000,16000000,16500000
Swaziland,89800000,117000000,62400000,60700000,120000000,135000000,89000000,79000000,70600000,83100000,41800000,9210000,46900000,53900000,66600000,51400000,47300000,103000000,125000000,120000000,108000000,78600000,60600000,75000000,70300000,54200000,65800000,77300000,63100000,48100000,78900000,74500000,74600000,75700000,71900000,68200000,35800000,33500000,44200000,36400000,15500000,40400000,28900000,39100000,22500000,45300000,34500000,47900000,64000000,52900000,86800000,113000000,87600000,109000000,81000000,92600000,147000000
Syria,123000000,108000000,182000000,24700000,32100000,24700000,136000000,40100000,34800000,69200000,132000000,120000000,273000000,1840000000,3010000000,2860000000,2660000000,3190000000,2470000000,4890000000,4160000000,4060000000,2640000000,2030000000,1510000000,1420000000,1380000000,1280000000,232000000,174000000,1220000000,670000000,244000000,295000000,751000000,345000000,237000000,223000000,182000000,232000000,183000000,236000000,79900000,141000000,117000000,81200000,22500000,74800000,139000000,192000000,128000000,289000000,1430000000,3190000000,3700000000,4890000000,9140000000
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17900000,38300000,91000000,81300000,129000000,114000000,211000000,161000000,170000000,234000000,217000000,182000000,282000000,275000000,256000000,229000000,269000000,381000000,403000000,305000000,352000000,350000000,319000000,426000000,333000000
Tanzania,107000000,380000000,430000000,285000000,391000000,302000000,255000000,281000000,277000000,238000000,314000000,351000000,304000000,417000000,609000000,984000000,853000000,1010000000,1110000000,1360000000,1440000000,1590000000,1600000000,1440000000,1410000000,1230000000,1350000000,1540000000,1570000000,1450000000,1620000000,1450000000,1720000000,1280000000,1240000000,989000000,1020000000,1220000000,1300000000,1310000000,1390000000,1730000000,1750000000,2050000000,1910000000,1570000000,1930000000,2650000000,2110000000,2970000000,2810000000,2190000000,2590000000,3140000000,2420000000,2580000000,2330000000
Thailand,278000000,187000000,251000000,239000000,227000000,354000000,296000000,370000000,424000000,408000000,431000000,331000000,264000000,258000000,278000000,290000000,554000000,388000000,629000000,855000000,865000000,831000000,850000000,892000000,984000000,976000000,762000000,642000000,645000000,838000000,979000000,830000000,802000000,611000000,549000000,669000000,721000000,610000000,709000000,906000000,597000000,303000000,314000000,-802000000,72600000,-110000000,-174000000,-283000000,-500000000,-39000000,19100000,-82400000,-61600000,42700000,322000000,58700000,217000000
Timor-Leste,,17700000,,,,,,2920000,,,,,,,30000,850000,1510000,,30000,1010000,850000,570000,520000,1020000,,,570000,,30000,,140000,1170000,190000,590000,290000,20000,110000,620000,2330000,251000000,375000000,320000000,332000000,223000000,187000000,199000000,222000000,270000000,256000000,209000000,258000000,228000000,236000000,217000000,217000000,212000000,224000000
Togo,920000,24300000,34400000,52200000,115000000,99500000,90500000,101000000,128000000,114000000,105000000,107000000,109000000,112000000,153000000,140000000,148000000,193000000,262000000,254000000,189000000,142000000,178000000,265000000,274000000,268000000,319000000,198000000,313000000,306000000,350000000,265000000,281000000,123000000,155000000,216000000,169000000,147000000,160000000,88400000,95200000,66000000,70900000,59100000,70000000,85800000,80300000,113000000,283000000,473000000,360000000,467000000,216000000,199000000,185000000,200000000,165000000
Tonga,80000,150000,510000,350000,410000,3840000,4540000,9240000,11800000,4900000,10500000,4880000,7400000,7080000,12900000,14400000,19400000,25200000,28200000,57800000,39000000,41200000,42300000,44600000,39200000,36600000,32100000,38900000,31100000,39200000,43100000,29100000,35200000,42300000,46300000,44500000,38300000,36400000,36800000,30800000,27800000,29700000,35300000,35900000,23900000,34400000,25000000,32500000,25700000,37100000,60700000,74400000,62800000,68600000,69500000,68400000,78400000
Trinidad and Tobago,,820000,5240000,79100000,84100000,92600000,57600000,12200000,52000000,52100000,37400000,36700000,23300000,18000000,23600000,19600000,17300000,16900000,12200000,9870000,8190000,-4470000,12400000,12400000,10800000,17600000,36500000,53800000,13500000,8970000,24800000,-2850000,10300000,2240000,27200000,29600000,19500000,42500000,17800000,34400000,-4090000,-4400000,-13500000,-3870000,-1960000,-1960000,13400000,18800000,7940000,6370000,4140000,,,,,,
Tunisia,328000000,614000000,458000000,600000000,453000000,594000000,527000000,592000000,425000000,695000000,635000000,565000000,535000000,566000000,672000000,707000000,717000000,722000000,795000000,458000000,486000000,547000000,482000000,489000000,435000000,407000000,428000000,470000000,486000000,434000000,530000000,465000000,477000000,323000000,138000000,86400000,146000000,245000000,183000000,325000000,288000000,511000000,282000000,325000000,332000000,363000000,428000000,287000000,314000000,416000000,480000000,765000000,935000000,616000000,792000000,475000000,625000000
Turkey,994000000,1280000000,1480000000,1500000000,1050000000,1270000000,1340000000,1310000000,1170000000,1080000000,985000000,1070000000,1080000000,347000000,174000000,188000000,473000000,295000000,404000000,1330000000,2070000000,1660000000,1450000000,799000000,536000000,429000000,628000000,509000000,339000000,187000000,1660000000,2060000000,413000000,603000000,227000000,366000000,258000000,5540000,41200000,40900000,402000000,256000000,383000000,194000000,301000000,415000000,554000000,704000000,920000000,1130000000,845000000,2750000000,2770000000,2440000000,2930000000,2150000000,3610000000
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9800000,45800000,37700000,40400000,30600000,26300000,35200000,33300000,47600000,96200000,55200000,33700000,60700000,31500000,42100000,25300000,14000000,38800000,39900000,37000000,34700000,32000000,31300000,23600000,33300000
Tuvalu,,,,,,,,,,,,,,,,170000,14400000,10500000,9730000,11700000,11400000,12100000,14900000,10900000,15200000,9360000,10700000,54700000,24300000,10000000,7930000,8050000,11100000,7350000,10400000,10800000,12000000,10800000,8510000,10000000,7060000,13000000,14500000,8150000,9680000,10300000,15900000,11800000,15700000,16100000,11900000,29300000,19700000,23000000,29600000,49700000,33300000
Uganda,216000000,216000000,271000000,184000000,197000000,162000000,186000000,166000000,169000000,194000000,217000000,188000000,219000000,97300000,64900000,179000000,70600000,54600000,107000000,116000000,251000000,310000000,309000000,327000000,401000000,438000000,383000000,507000000,625000000,820000000,932000000,897000000,932000000,823000000,968000000,982000000,815000000,1060000000,871000000,800000000,1200000000,1190000000,1000000000,1200000000,1340000000,1280000000,1640000000,1660000000,1500000000,1710000000,1620000000,1430000000,1520000000,1560000000,1500000000,1630000000,1770000000
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443000000,513000000,406000000,551000000,599000000,616000000,660000000,705000000,700000000,1230000000,1450000000,1490000000
United Arab Emirates,4340000,5530000,4240000,3810000,4850000,120000,11000000,13200000,10400000,7510000,31300000,31000000,23300000,3430000,2360000,14000000,3340000,107000000,4110000,15000000,8470000,-310000,10400000,9740000,7890000,9350000,65000000,179000000,-18800000,-9990000,4410000,-11800000,-11900000,-12800000,-10000000,4840000,,,,,,,,,,,,,,,,,,,,,
Uruguay,107000000,-6510000,11500000,79000000,31600000,2490000,36900000,36900000,306000000,111000000,78100000,58300000,109000000,86700000,43700000,41400000,43800000,51900000,25100000,32000000,19900000,15400000,9020000,6890000,10800000,14400000,49600000,27100000,63400000,57700000,69200000,62100000,81500000,145000000,93500000,73600000,39100000,40000000,30500000,27300000,23700000,21000000,19100000,19600000,24700000,17600000,23600000,33400000,28300000,44800000,40700000,16200000,15700000,31900000,78500000,23200000,18300000
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450000,10800000,36200000,82500000,90500000,143000000,169000000,169000000,210000000,202000000,242000000,222000000,255000000,175000000,159000000,162000000,165000000,177000000,223000000,184000000,237000000,266000000,294000000,448000000,442000000
Vanuatu,1590000,2870000,4050000,4980000,6120000,5170000,18400000,16800000,21200000,27100000,25000000,32200000,39400000,44400000,73400000,51500000,114000000,58200000,63600000,93200000,90800000,69200000,61100000,66800000,64900000,57800000,53400000,92400000,64900000,65900000,72800000,73000000,58100000,54400000,53400000,53800000,41000000,37800000,59500000,53400000,69200000,54500000,45300000,46600000,47200000,46500000,56100000,56800000,91700000,104000000,97400000,70300000,78500000,74300000,84900000,187000000,126000000
Venezuela,-69400000,-139000000,497000000,311000000,-338000000,-51400000,179000000,115000000,325000000,79500000,57400000,55600000,105000000,67700000,30000000,61900000,-2090000,-2800000,-48600000,12100000,27800000,31500000,30100000,24400000,37600000,30200000,30500000,28500000,34900000,98000000,99700000,36100000,38600000,49100000,30100000,46900000,42200000,5860000,53900000,58600000,117000000,66900000,80400000,98000000,50500000,51900000,58700000,68100000,53100000,54300000,49000000,43600000,46400000,34400000,38200000,36600000,43300000
Vietnam,1220000000,1110000000,1150000000,1420000000,1510000000,1870000000,2970000000,2570000000,2420000000,2390000000,2130000000,2180000000,2570000000,1980000000,2690000000,1320000000,709000000,827000000,1070000000,862000000,555000000,588000000,564000000,351000000,363000000,359000000,356000000,204000000,240000000,184000000,232000000,287000000,603000000,354000000,1140000000,879000000,1070000000,1210000000,1420000000,1560000000,1810000000,1850000000,1620000000,1980000000,1860000000,1910000000,1850000000,2360000000,2260000000,3320000000,2590000000,2960000000,3360000000,3590000000,3770000000,3160000000,2780000000
Yemen,134000000,128000000,156000000,181000000,199000000,267000000,307000000,205000000,54600000,35200000,103000000,182000000,256000000,274000000,711000000,871000000,1620000000,1380000000,1060000000,852000000,1240000000,1140000000,1400000000,1000000000,1310000000,1000000000,659000000,805000000,470000000,560000000,631000000,368000000,314000000,397000000,205000000,186000000,283000000,440000000,486000000,576000000,420000000,522000000,293000000,280000000,286000000,309000000,295000000,226000000,385000000,517000000,627000000,432000000,662000000,963000000,1050000000,1530000000,1950000000
Zambia,9730000,9320000,58000000,52500000,198000000,99600000,243000000,507000000,258000000,163000000,90900000,139000000,122000000,214000000,242000000,311000000,225000000,343000000,498000000,677000000,681000000,522000000,734000000,512000000,586000000,773000000,881000000,719000000,719000000,564000000,658000000,1150000000,1300000000,1140000000,906000000,2290000000,726000000,793000000,459000000,800000000,1100000000,802000000,1090000000,908000000,1210000000,1210000000,1530000000,972000000,1020000000,1200000000,880000000,939000000,893000000,1040000000,919000000,797000000,964000000
Zimbabwe,,100000,,106000000,42500000,32300000,2910000,2880000,16500000,5010000,4230000,4200000,4760000,4610000,7250000,16500000,27600000,26300000,31300000,34700000,353000000,400000000,504000000,491000000,732000000,569000000,452000000,501000000,427000000,419000000,466000000,524000000,1030000000,677000000,741000000,570000000,439000000,426000000,345000000,296000000,224000000,226000000,266000000,225000000,204000000,397000000,283000000,463000000,590000000,734000000,685000000,655000000,929000000,759000000,697000000,788000000,667000000
